week_ending,slug,landing_pv,users,sessions,avg_eng_s,engagement_rate,top_channel,cta_clicks,form_submits,key_events,data_status,wow_pct
2026-09-06,conversational-voice-ai,108,119,128,48.2,0.3672,Unassigned,0,未接入,0,GA4已接入,1.9
2026-09-06,voicecollectionanalysis,93,81,92,37.0,0.4239,Unassigned,1,未接入,1,GA4已接入,-50.5
2026-09-06,intelligent-video-analytics,85,47,59,60.1,0.3559,Direct,0,未接入,0,GA4已接入,-38.0
2026-09-06,smart-agriculture-sensing,56,57,64,26.4,0.3594,Direct,0,未接入,0,GA4已接入,-42.3
2026-09-06,smart-livestock-farming,56,47,61,24.0,0.3607,Direct,0,未接入,0,GA4已接入,-25.3
2026-09-06,smart-warehouse-management,40,33,38,81.6,0.4211,Direct,0,未接入,0,GA4已接入,-52.9
2026-09-06,building-energy-retrofit,33,23,27,59.0,0.2963,Direct,0,未接入,0,GA4已接入,3.1
2026-09-06,environment-monitoring,29,26,30,31.8,0.5,Direct,0,未接入,0,GA4已接入,-38.3
2026-09-06,indoor-outdoor-positioning,24,30,33,27.4,0.2121,Unassigned,0,未接入,0,GA4已接入,-40.0
2026-09-06,building-energy-management,22,24,26,21.9,0.5,Direct,0,未接入,0,GA4已接入,-60.0
2026-09-06,hazard-response,21,25,28,59.6,0.2857,Unassigned,0,未接入,0,GA4已接入,-46.2
2026-09-06,campus-safety-management,13,16,16,31.3,0.5,Direct,0,未接入,0,GA4已接入,-60.6
2026-08-30,voicecollectionanalysis,188,171,198,26.3,0.5808,Unassigned,0,未接入,0,GA4已接入,50.4
2026-08-30,intelligent-video-analytics,137,95,130,52.6,0.7231,Direct,0,未接入,0,GA4已接入,61.2
2026-08-30,conversational-voice-ai,106,94,115,45.9,0.7652,Direct,0,未接入,0,GA4已接入,-38.0
2026-08-30,smart-agriculture-sensing,97,80,88,36.9,0.625,Direct,0,未接入,0,GA4已接入,12.8
2026-08-30,smart-warehouse-management,85,78,88,40.9,0.6932,Direct,0,未接入,0,GA4已接入,70.0
2026-08-30,smart-livestock-farming,75,54,78,41.3,0.5769,Direct,0,未接入,0,GA4已接入,-21.1
2026-08-30,building-energy-management,55,51,54,34.5,0.8889,Direct,0,未接入,0,GA4已接入,3.8
2026-08-30,environment-monitoring,47,45,49,42.3,0.7347,Direct,0,未接入,0,GA4已接入,34.3
2026-08-30,indoor-outdoor-positioning,40,37,44,23.9,0.6364,Direct,0,未接入,0,GA4已接入,-23.1
2026-08-30,hazard-response,39,37,37,35.5,0.7838,Direct,0,未接入,0,GA4已接入,-11.4
2026-08-30,campus-safety-management,33,30,35,19.4,0.5143,Direct,0,未接入,0,GA4已接入,-21.4
2026-08-30,building-energy-retrofit,32,28,30,44.4,0.7667,Direct,0,未接入,0,GA4已接入,-28.9
2026-08-23,conversational-voice-ai,171,144,167,39.8,0.7126,Direct,0,未接入,0,GA4已接入,44.9
2026-08-23,voicecollectionanalysis,125,116,130,21.8,0.5462,Unassigned,0,未接入,0,GA4已接入,-14.4
2026-08-23,smart-livestock-farming,95,70,86,32.9,0.5814,Direct,0,未接入,0,GA4已接入,15.9
2026-08-23,smart-agriculture-sensing,86,78,90,31.6,0.5444,Direct,1,未接入,1,GA4已接入,-31.2
2026-08-23,intelligent-video-analytics,85,66,83,72.9,0.6627,Direct,0,未接入,0,GA4已接入,-44.8
2026-08-23,building-energy-management,53,50,57,34.6,0.6316,Direct,1,未接入,1,GA4已接入,29.3
2026-08-23,indoor-outdoor-positioning,52,46,52,43.6,0.7692,Direct,0,未接入,0,GA4已接入,-45.8
2026-08-23,smart-warehouse-management,50,47,53,28.2,0.8113,Direct,1,未接入,1,GA4已接入,-20.6
2026-08-23,building-energy-retrofit,45,42,47,50.7,0.766,Direct,0,未接入,0,GA4已接入,15.4
2026-08-23,hazard-response,44,35,39,34.5,0.7692,Direct,0,未接入,0,GA4已接入,76.0
2026-08-23,campus-safety-management,42,38,43,26.1,0.7209,Direct,0,未接入,0,GA4已接入,13.5
2026-08-23,environment-monitoring,35,34,36,32.3,0.7222,Direct,0,未接入,0,GA4已接入,-22.2
2026-08-16,intelligent-video-analytics,154,105,141,39.7,0.6809,Direct,1,未接入,1,GA4已接入,14.1
2026-08-16,voicecollectionanalysis,146,126,153,31.3,0.549,Unassigned,0,未接入,0,GA4已接入,3.5
2026-08-16,smart-agriculture-sensing,125,95,121,19.9,0.5785,Direct,0,未接入,0,GA4已接入,-1.6
2026-08-16,conversational-voice-ai,118,85,106,45.9,0.6604,Direct,0,未接入,0,GA4已接入,-11.3
2026-08-16,indoor-outdoor-positioning,96,73,95,30.0,0.6421,Organic Social,0,未接入,0,GA4已接入,140.0
2026-08-16,smart-livestock-farming,82,63,74,35.8,0.7162,Direct,0,未接入,0,GA4已接入,-26.1
2026-08-16,smart-warehouse-management,63,57,75,45.1,0.5733,Direct,0,未接入,0,GA4已接入,-23.2
2026-08-16,environment-monitoring,45,40,47,75.8,0.766,Direct,2,未接入,2,GA4已接入,-19.6
2026-08-16,building-energy-management,41,38,42,30.4,0.7143,Direct,0,未接入,0,GA4已接入,7.9
2026-08-16,building-energy-retrofit,39,28,36,19.6,0.6111,Direct,0,未接入,0,GA4已接入,-43.5
2026-08-16,campus-safety-management,37,30,32,13.3,0.5938,Direct,0,未接入,0,GA4已接入,-33.9
2026-08-16,hazard-response,25,24,26,42.9,0.8462,Direct,0,未接入,0,GA4已接入,-56.9
2026-08-09,voicecollectionanalysis,141,131,155,22.5,0.6,Unassigned,0,未接入,0,GA4已接入,-6.0
2026-08-09,intelligent-video-analytics,135,117,136,38.7,0.6544,Direct,0,未接入,0,GA4已接入,31.1
